127.0.0.1 - - [19/Nov/2021:10:23:26 +0900] "GET / HTTP/1.1" 404 807
192.168.0.7 - - [19/Nov/2021:10:24:10 +0900] "GET /sp HTTP/1.1" 302 -
192.168.0.7 - - [19/Nov/2021:10:24:10 +0900] "GET /sp/ HTTP/1.1" 200 47
192.168.0.7 - - [19/Nov/2021:10:24:14 +0900] "GET /sp/main.mc HTTP/1.1" 200 2812
192.168.0.7 - - [19/Nov/2021:10:24:15 +0900] "GET /favicon.ico HTTP/1.1" 404 818
192.168.0.7 - - [19/Nov/2021:10:24:15 +0900] "GET /sp/uu.mc HTTP/1.1" 200 189
192.168.0.7 - - [19/Nov/2021:10:44:43 +0900] "GET /sp/login.mc HTTP/1.1" 200 2462
192.168.0.7 - - [19/Nov/2021:10:44:47 +0900] "GET /sp/login.mc HTTP/1.1" 200 2462
192.168.0.7 - - [19/Nov/2021:10:44:48 +0900] "GET /sp/uadd.mc HTTP/1.1" 200 2501
192.168.0.7 - - [19/Nov/2021:10:44:49 +0900] "GET /sp/ulist.mc HTTP/1.1" 200 2544
192.168.0.7 - - [19/Nov/2021:10:44:50 +0900] "GET /sp/productadd.mc HTTP/1.1" 200 2605
192.168.0.7 - - [19/Nov/2021:10:44:51 +0900] "GET /sp/productlist.mc HTTP/1.1" 200 2586
192.168.0.7 - - [19/Nov/2021:10:44:51 +0900] "GET /sp/img/pants02.jpg HTTP/1.1" 404 833
192.168.0.7 - - [19/Nov/2021:10:44:51 +0900] "GET /sp/img/pants01.jpg HTTP/1.1" 404 833
192.168.0.7 - - [19/Nov/2021:10:44:51 +0900] "GET /sp/img/pants03.jpg HTTP/1.1" 404 833
192.168.0.7 - - [19/Nov/2021:10:59:46 +0900] "GET /sp/login.mc HTTP/1.1" 200 2462
192.168.0.7 - - [19/Nov/2021:10:59:46 +0900] "GET /sp/login.mc HTTP/1.1" 200 2462
192.168.0.7 - - [19/Nov/2021:11:00:00 +0900] "GET /sp/login.mc HTTP/1.1" 200 2462
192.168.0.7 - - [19/Nov/2021:11:06:57 +0900] "GET /sp/login.mc HTTP/1.1" 200 2479
192.168.0.7 - - [19/Nov/2021:11:07:23 +0900] "GET /sp HTTP/1.1" 302 -
192.168.0.7 - - [19/Nov/2021:11:07:23 +0900] "GET /sp/main.mc HTTP/1.1" 200 2829
192.168.0.7 - - [19/Nov/2021:11:07:24 +0900] "GET /sp/uu.mc HTTP/1.1" 200 189
192.168.0.7 - - [19/Nov/2021:11:07:26 +0900] "GET /sp/register.mc HTTP/1.1" 200 2312
192.168.0.7 - - [19/Nov/2021:11:07:28 +0900] "GET /sp/about.mc HTTP/1.1" 200 2309
192.168.0.7 - - [19/Nov/2021:11:08:19 +0900] "GET /sp/login.mc HTTP/1.1" 200 2483
192.168.0.7 - - [19/Nov/2021:11:08:28 +0900] "POST /sp/loginimpl.mc HTTP/1.1" 200 2291
192.168.0.7 - - [19/Nov/2021:11:08:44 +0900] "GET /sp/logout.mc HTTP/1.1" 200 2829
192.168.0.7 - - [19/Nov/2021:11:08:44 +0900] "GET /sp/uu.mc HTTP/1.1" 200 189
192.168.0.7 - - [19/Nov/2021:11:08:46 +0900] "GET /sp/login.mc HTTP/1.1" 200 2483
192.168.0.7 - - [19/Nov/2021:11:08:54 +0900] "POST /sp/loginimpl.mc HTTP/1.1" 200 2307
192.168.0.7 - - [19/Nov/2021:11:08:57 +0900] "GET /sp/login.mc HTTP/1.1" 200 2483
192.168.0.7 - - [19/Nov/2021:11:09:36 +0900] "POST /sp/loginimpl.mc HTTP/1.1" 200 2291
192.168.0.7 - - [19/Nov/2021:11:14:12 +0900] "GET /sp/uadd.mc HTTP/1.1" 200 2486
192.168.0.7 - - [19/Nov/2021:11:14:29 +0900] "GET /sp/ulist.mc HTTP/1.1" 200 2529
192.168.0.7 - - [19/Nov/2021:11:22:32 +0900] "GET /sp/productlist.mc HTTP/1.1" 200 2571
192.168.0.7 - - [19/Nov/2021:11:22:32 +0900] "GET /sp/img/pants01.jpg HTTP/1.1" 404 833
192.168.0.7 - - [19/Nov/2021:11:22:32 +0900] "GET /sp/img/pants02.jpg HTTP/1.1" 404 833
192.168.0.7 - - [19/Nov/2021:11:22:32 +0900] "GET /sp/img/pants03.jpg HTTP/1.1" 404 833
192.168.0.7 - - [19/Nov/2021:11:22:32 +0900] "GET /sp/productadd.mc HTTP/1.1" 200 2590
192.168.0.7 - - [19/Nov/2021:11:22:33 +0900] "GET /sp/ulist.mc HTTP/1.1" 200 2529
192.168.0.7 - - [19/Nov/2021:11:22:34 +0900] "GET /sp/uadd.mc HTTP/1.1" 200 2486
192.168.0.7 - - [19/Nov/2021:11:25:39 +0900] "GET /sp/ulist.mc HTTP/1.1" 200 2529
192.168.0.7 - - [19/Nov/2021:11:25:41 +0900] "GET /sp/udetail.mc?id=id01 HTTP/1.1" 200 2411
192.168.0.7 - - [19/Nov/2021:11:25:46 +0900] "GET /sp/uupdate.mc?id=id01 HTTP/1.1" 200 2563
192.168.0.7 - - [19/Nov/2021:11:25:48 +0900] "GET /sp/ulist.mc HTTP/1.1" 200 2529
192.168.0.7 - - [19/Nov/2021:13:07:04 +0900] "GET /sp/productlist.mc HTTP/1.1" 200 2603
192.168.0.7 - - [19/Nov/2021:13:07:04 +0900] "GET /sp/img/pants02.jpg HTTP/1.1" 404 833
192.168.0.7 - - [19/Nov/2021:13:07:04 +0900] "GET /sp/img/pants01.jpg HTTP/1.1" 404 833
192.168.0.7 - - [19/Nov/2021:13:07:04 +0900] "GET /sp/img/pants03.jpg HTTP/1.1" 404 833
192.168.0.7 - - [19/Nov/2021:13:07:12 +0900] "GET /sp/ulist.mc HTTP/1.1" 200 2561
192.168.0.7 - - [19/Nov/2021:13:07:12 +0900] "GET /sp/productadd.mc HTTP/1.1" 200 2622
192.168.0.7 - - [19/Nov/2021:13:07:19 +0900] "GET /sp/ulist.mc HTTP/1.1" 200 2561
192.168.0.7 - - [19/Nov/2021:13:07:23 +0900] "GET /sp/udetail.mc?id=id01 HTTP/1.1" 200 2443
192.168.0.7 - - [19/Nov/2021:13:07:30 +0900] "GET /sp/uupdate.mc?id=id01 HTTP/1.1" 200 2595
192.168.0.7 - - [19/Nov/2021:13:07:56 +0900] "GET /sp/productlist.mc HTTP/1.1" 200 2603
192.168.0.7 - - [19/Nov/2021:13:07:56 +0900] "GET /sp/img/pants02.jpg HTTP/1.1" 404 833
192.168.0.7 - - [19/Nov/2021:13:07:56 +0900] "GET /sp/img/pants01.jpg HTTP/1.1" 404 833
192.168.0.7 - - [19/Nov/2021:13:07:56 +0900] "GET /sp/img/pants03.jpg HTTP/1.1" 404 833
192.168.0.7 - - [19/Nov/2021:13:08:12 +0900] "GET /sp/productadd.mc HTTP/1.1" 200 2622
192.168.0.7 - - [19/Nov/2021:13:12:51 +0900] "POST /sp/productaddimpl.mc HTTP/1.1" 200 2829
192.168.0.7 - - [19/Nov/2021:13:12:51 +0900] "GET /sp/uu.mc HTTP/1.1" 200 189
192.168.0.7 - - [19/Nov/2021:13:13:52 +0900] "GET /sp/productlist.mc HTTP/1.1" 200 2656
192.168.0.7 - - [19/Nov/2021:13:13:52 +0900] "GET /sp/img/pants02.jpg HTTP/1.1" 404 833
192.168.0.7 - - [19/Nov/2021:13:13:52 +0900] "GET /sp/img/pants01.jpg HTTP/1.1" 404 833
192.168.0.7 - - [19/Nov/2021:13:13:52 +0900] "GET /sp/img/pants03.jpg HTTP/1.1" 404 833
192.168.0.7 - - [19/Nov/2021:13:13:52 +0900] "GET /sp/img/pants.jpg HTTP/1.1" 200 2445
192.168.0.7 - - [19/Nov/2021:13:32:54 +0900] "POST /sp/iot1.mc?temp=22&humi=30 HTTP/1.1" 200 -
192.168.0.7 - - [19/Nov/2021:13:33:00 +0900] "POST /sp/iot1.mc?temp=22&humi=30 HTTP/1.1" 200 -
192.168.0.7 - - [19/Nov/2021:13:33:03 +0900] "POST /sp/iot1.mc?temp=22&humi=30 HTTP/1.1" 200 -
192.168.0.158 - - [19/Nov/2021:13:39:25 +0900] "POST /sp/iot1.mc?temp=-1.193959466E9&humi=-1.139614796E9 HTTP/1.1" 200 -
192.168.0.158 - - [19/Nov/2021:13:39:28 +0900] "POST /sp/iot1.mc?temp=-1.193959466E9&humi=-1.139614796E9 HTTP/1.1" 200 -
192.168.0.158 - - [19/Nov/2021:13:39:29 +0900] "POST /sp/iot1.mc?temp=-1.193959466E9&humi=-1.139614796E9 HTTP/1.1" 200 -
192.168.0.158 - - [19/Nov/2021:13:39:30 +0900] "POST /sp/iot1.mc?temp=-1.193959466E9&humi=-1.139614796E9 HTTP/1.1" 200 -
192.168.0.158 - - [19/Nov/2021:13:39:30 +0900] "POST /sp/iot1.mc?temp=-1.193959466E9&humi=-1.139614796E9 HTTP/1.1" 200 -
192.168.0.158 - - [19/Nov/2021:13:39:31 +0900] "POST /sp/iot1.mc?temp=-1.193959466E9&humi=-1.139614796E9 HTTP/1.1" 200 -
192.168.0.158 - - [19/Nov/2021:13:39:31 +0900] "POST /sp/iot1.mc?temp=-1.193959466E9&humi=-1.139614796E9 HTTP/1.1" 200 -
192.168.0.158 - - [19/Nov/2021:13:39:32 +0900] "POST /sp/iot1.mc?temp=-1.193959466E9&humi=-1.139614796E9 HTTP/1.1" 200 -
192.168.0.158 - - [19/Nov/2021:13:39:32 +0900] "POST /sp/iot1.mc?temp=-1.193959466E9&humi=-1.139614796E9 HTTP/1.1" 200 -
192.168.0.158 - - [19/Nov/2021:13:39:32 +0900] "POST /sp/iot1.mc?temp=-1.193959466E9&humi=-1.139614796E9 HTTP/1.1" 200 -
192.168.0.158 - - [19/Nov/2021:13:39:33 +0900] "POST /sp/iot1.mc?temp=-1.193959466E9&humi=-1.139614796E9 HTTP/1.1" 200 -
192.168.0.158 - - [19/Nov/2021:13:39:34 +0900] "POST /sp/iot1.mc?temp=-1.193959466E9&humi=-1.139614796E9 HTTP/1.1" 200 -
